Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
PCB + stencil,all components are on this,1,34.95,https://jlcpcb.com,jlcpcb
ALL components,all components that are on pcb,1,35.54,https://lcsc.com,lcsc
,,Total cost,70.49,,
